"filename", "language", "TypeScript", "XML", "JSON", "JSON with Comments", "JavaScript", "Markdown", "TypeScript JSX", "CSS", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\public\svgs\close-button.svg", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 11
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\public\svgs\close-mark.svg", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\public\svgs\ellipsis.svg", "XML", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 17
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\public\svgs\follow-icon.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\public\svgs\mark-as-readed.svg", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 8
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\public\svgs\notifications-pattren.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\public\svgs\pen-nib.svg", "XML", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\public\svgs\save-icon.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\public\svgs\saved-icon.svg", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 17
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\public\svgs\search.svg", "XML", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 13
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\public\svgs\trending-up.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\public\svgs\user-blank.svg", "XML", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 17
